Date update,Child Id,Child Lookup Id Field,Child Lookup Reference Field,Child SObject,Parent SObject,Parent ExternalId Field,Missing expected parent ExternalID value
2023-09-22  09:48:35.797,a0i07000002Gw63AAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Processor;01t07000000g7ZqAAI
2023-09-22  09:48:35.797,a0i07000002Gw64AAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Processor;01t07000000g7ZqAAI
2023-09-22  09:48:35.797,a0i07000002Gw65AAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Storage;01t07000000g7ZqAAI
2023-09-22  09:48:35.797,a0i07000002Gw66AAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Processor;01t07000000g7ZqAAI
2023-09-22  09:48:35.797,a0i07000002Gw67AAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Memory;01t07000000g7ZqAAI
2023-09-22  09:48:35.797,a0i07000002Gw68AAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Memory;01t07000000g7ZqAAI
2023-09-22  09:48:35.797,a0i07000002Gw69AAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Storage;01t07000000g7ZqAAI
2023-09-22  09:48:35.797,a0i07000002Gw6AAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Processor;01t07000000g7ZkAAI
2023-09-22  09:48:35.798,a0i07000002Gw6BAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Storage;01t07000000g7ZkAAI
2023-09-22  09:48:35.798,a0i07000002Gw62AAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Basics;01t07000000g7afAAA
2023-09-22  09:48:35.798,a0i07000002Gw6CAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Memory;01t07000000g7ZkAAI
2023-09-22  09:48:35.798,a0i07000002Gw6DAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Memory;01t07000000g7ZkAAI
2023-09-22  09:48:35.798,a0i07000002Gw6RAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Processor;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6SAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Processor;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6TAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Storage;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6UAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Processor;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6VAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Storage;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6WAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Storage;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6aAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Memory;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6XAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Storage;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6YAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Memory;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6ZAAS,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Memory;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6bAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Input Devices;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6fAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Storage;01t07000000g7bmAAA
2023-09-22  09:48:35.798,a0i07000002Gw6cAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Output Devices;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6dAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Input Devices;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6eAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Output Devices;01t07000000g7btAAA
2023-09-22  09:48:35.798,a0i07000002Gw6gAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Storage;01t07000000g7bmAAA
2023-09-22  09:48:35.798,a0i07000002Gw6lAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Chargers;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6iAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Chargers;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6jAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Chargers;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6kAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Chargers;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6mAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Service;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6nAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Cables;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6oAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Cables;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6pAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Cables;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6qAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Cases;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6rAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Cases;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6sAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Cases;01t07000000g7bHAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6tAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,System Peripherals;01t07000000g7aJAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6uAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,System Peripherals;01t07000000g7aJAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6vAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Headphones & Speakers;01t07000000g7aJAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6wAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Microphones;01t07000000g7aJAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6xAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,System Peripherals;01t07000000g7aJAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6yAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,System Peripherals;01t07000000g7aJAAQ
2023-09-22  09:48:35.798,a0i07000002Gw6zAAC,SBQQ__Feature__c,SBQQ__Feature__r.$$Name$SBQQ__ConfiguredSKU__c,SBQQ__ProductOption__c,SBQQ__ProductFeature__c,Name;SBQQ__ConfiguredSKU__c,Headphones & Speakers;01t07000000g7aJAAQ
